Congo Dem. Rep.       Seychelles      Haiti
Liberia       Ireland      Lesotho
Burundi       Japan      Central African Republic
Niger       Czech Republic      Zambia
Central African Republic       Slovenia      Malawi
Mozambique       Latvia      South Africa
Malawi       Bahamas      Mozambique
Guinea       Singapore      Sierra Leone
Togo       Spain      Guinea-Bissau
Sierra Leone       Lebanon      Afghanistan
Rwanda       Switzerland      Cote d'Ivoire
Guinea-Bissau       Italy      Chad
Madagascar       Barbados      Uganda
Comoros       Finland      Botswana
Eritrea       Grenada      Cameroon
Burkina Faso       Slovak Republic      Congo Dem. Rep.
Haiti       Cape Verde      Burundi
Uganda       Portugal      Burkina Faso
Afghanistan       Greece      Guinea
Gambia       Germany      Namibia
Kiribati       Croatia      Togo
Solomon Islands       Netherlands      Niger
Benin       Austria      Tanzania
Timor-Leste       Benin      Mali
Mali       Morocco      Angola
Chad       Sweden      Congo Rep.
Nepal       France      Nigeria
Tanzania       Bulgaria      Kiribati
Tajikistan       Mauritius      Liberia
Senegal       Belize      Madagascar
Lesotho       Australia      Equatorial Guinea
Bangladesh       Togo      Solomon Islands
Kenya       United States      Eritrea
Cambodia       Bosnia and Herzegovina      Benin
Cameroon       Antigua and Barbuda      Ghana
Cote d'Ivoire       Kiribati      Kenya
Kyrgyz Republic       United Kingdom      Gabon
Vanuatu       Montenegro      Vanuatu
Ghana       Poland      Lao
Zambia       Samoa      Senegal
Mauritania       Estonia      Rwanda
Micronesia Fed. Sts.       Israel      Fiji
Sudan       Senegal      Pakistan
Myanmar       Belgium      Micronesia Fed. Sts.
Moldova       Cameroon      Gambia
Lao       Cyprus      Guyana
Uzbekistan       Central African Republic      Comoros
Pakistan       Macedonia FYR      Cambodia
India       Kenya      Mongolia
Yemen       Turkmenistan      India
Vietnam       Hungary      Sudan
Tonga       Lithuania      Myanmar
Nigeria       Niger      Iraq
Congo Rep.       Panama      Yemen
Samoa       Rwanda      Turkmenistan
Bolivia       Vanuatu      Mauritania
Philippines       El Salvador      Nepal
Cape Verde       Canada      Kazakhstan
Guyana       Maldives      Kyrgyz Republic
Angola       Guinea-Bissau      Uzbekistan
Bhutan       Cambodia      Philippines
Morocco       South Korea      Azerbaijan
Armenia       Denmark      Russia
Guatemala       Romania      Tajikistan
Georgia       Namibia      Moldova
Paraguay       Luxembourg      Tonga
El Salvador       Tonga      Indonesia
Fiji       New Zealand      Suriname
Mongolia       Micronesia Fed. Sts.      Ukraine
Ukraine       Tunisia      Belarus
Belize       Malta      Bangladesh
Jamaica       Colombia      Egypt
Indonesia       Comoros      Timor-Leste
Namibia       Thailand      Guatemala
Sri Lanka       Lesotho      Grenada
Ecuador       Philippines      Belize
Jordan       Fiji      Samoa
China       Gambia      Bolivia
Bosnia and Herzegovina       Mali      St. Vincent and the Grenadines
Egypt       St. Vincent and the Grenadines      Bhutan
St. Vincent and the Grenadines       Albania      Cape Verde
Albania       Uruguay      Georgia
Turkmenistan       Guatemala      Vietnam
Peru       Cote d'Ivoire      Latvia
Tunisia       Dominican Republic      Lithuania
Maldives       Haiti      Armenia
Colombia       Iceland      Mauritius
Dominican Republic       Liberia      Seychelles
Grenada       Peru      Morocco
Macedonia FYR       Guyana      Romania
South Africa       Serbia      Bahamas
Serbia       Norway      Bulgaria
Iraq       Bhutan      Macedonia FYR
Algeria       Paraguay      El Salvador
Costa Rica       South Africa      Paraguay
Botswana       Chad      Brazil
Thailand       Costa Rica      Sri Lanka
Montenegro       Solomon Islands      Hungary
Suriname       Burkina Faso      Iran
Brazil       China      Malaysia
Barbados       Qatar      Dominican Republic
Bulgaria       Turkey      China
Panama       Myanmar      Serbia
Gabon       Bangladesh      Jamaica
Mauritius       Suriname      Saudi Arabia
Azerbaijan       Malaysia      Venezuela
Belarus       Bahrain      Slovak Republic
Lebanon       Ecuador      Argentina
Venezuela       Mozambique      Jordan
Uruguay       Armenia      Estonia
Iran       Brazil      Bahrain
Romania       Jordan      Libya
Turkey       Georgia      Oman
Latvia       Bolivia      Croatia
Argentina       Madagascar      Poland
Antigua and Barbuda       Botswana      Albania
Chile       Chile      Montenegro
Croatia       India      Uruguay
Kazakhstan       Lao      Colombia
Seychelles       Tanzania      Algeria
Lithuania       Afghanistan      United Arab Emirates
Malaysia       Jamaica      Thailand
Poland       Kyrgyz Republic      Ecuador
Hungary       Egypt      Barbados
Estonia       Uganda      Bosnia and Herzegovina
Bahamas       Pakistan      Antigua and Barbuda
Russia       Moldova      Tunisia
Slovak Republic       Kuwait      Brunei
Portugal       Eritrea      Czech Republic
Malta       Vietnam      Panama
Czech Republic       Malawi      Maldives
Greece       Burundi      Peru
Slovenia       United Arab Emirates      Turkey
Israel       Tajikistan      Kuwait
Libya       Ukraine      United States
South Korea       Azerbaijan      Chile
New Zealand       Zambia      Denmark
Spain       Libya      Slovenia
Equatorial Guinea       Russia      Qatar
Cyprus       Belarus      Portugal
Japan       Nepal      Lebanon
United Kingdom       Indonesia      Cyprus
Italy       Oman      Belgium
France       Iran      Finland
Iceland       Algeria      Germany
Finland       Guinea      South Korea
Germany       Uzbekistan      United Kingdom
Canada       Iraq      Malta
Belgium       Gabon      Costa Rica
Bahrain       Ghana      Greece
Australia       Brunei      Ireland
Sweden       Saudi Arabia      Austria
Austria       Sierra Leone      Netherlands
Denmark       Mauritania      New Zealand
Oman       Kazakhstan      Norway
Saudi Arabia       Sudan      Canada
Netherlands       Congo Rep.      Luxembourg
Ireland       Congo Dem. Rep.      France
United States       Argentina      Israel
Switzerland       Angola      Sweden
United Arab Emirates       Sri Lanka      Italy
Norway       Yemen      Spain
Singapore       Equatorial Guinea      Iceland
Kuwait       Timor-Leste      Australia
Brunei       Mongolia      Switzerland
Luxembourg       Venezuela      Singapore
Qatar       Nigeria      Japan
